deal_id;target_country;location;investor_name;investor_country;intention;year;negotiation_status;implementation_status;intended_size;nature_of_deal;contract_farming
4090;Brazil;Costa Rica;;;;;;;;;
4091;Brazil;Bandeirantes;;;;;;;;;
4092;Brazil;Bandeirantes;;;;;;;;;
4094;Brazil;Alto Boa Vista;;;;;;;;;
4095;Brazil;Canarana;;;;;;;;;
4096;Brazil;Campo Novo do Parecis;;;;;;;;;
4097;Philippines;Negros Occidental;;;;;;;;;
4098;Philippines;Murcia;;;;;;;;;
4099;Philippines;Hinigaran;;;;;;;;;
4100;Philippines;Clarin;;;;;;;;;
4101;Paraguay;Villa Hayes;;;;;;;;;
4102;China;Yunxiao;;;;;;;;;
4103;Philippines;Zambales;;;;;;;;;
4104;Philippines;General Santos City;;;;;;;;;
4105;Philippines;Misamis Oriental;;;;;;;;;
4106;Philippines;Sarangani;;;;;;;;;
4107;China;Nanshan;;;;;;;;;
4109;Laos;Vientiane;;;;;;;;;
4110;Laos;Vientiane;;;;;;;;;
4111;Laos;Muang Sing;;;;;;;;;
4112;Laos;Muang Sing;;;;;;;;;
4113;Philippines;Mindanao;;;;;;;;;
4114;Laos;Boten;;;;;;;;;
4115;Philippines;Palawan;;;;;;;;;
4116;Philippines;Negros Oriental;;;;;;;;;
4117;Philippines;San Roque;;;;;;;;;
4118;Kenya;Busia;;;;;;;;;
4119;Philippines;Tarlac Province;;;;;;;;;
4123;Kenya;Hell's Gate National Park;;;;;;;;;
4124;Philippines;Cagayan de Oro;;;;;;;;;
4126;Philippines;Bago City;;;;;;;;;
4127;Philippines;Bukidnon;;;;;;;;;
4128;Philippines;Laak;;;;;;;;;
4129;Philippines;Kalabugao;;;;;;;;;
4130;Argentina;Joaquín V. González;;;;;;;;;
4131;Mexico;Poza la Becerra;;;;;;;;;
4132;Uruguay;Tacuarembo;;;;;;;;;
4133;Uruguay;Paysandu;;;;;;;;;
4134;Uruguay;Cerro Largo;;;;;;;;;
4135;Uruguay;Rivera;;;;;;;;;
4136;Uruguay;Paysandu;;;;;;;;;
4137;Uruguay;Salto;;;;;;;;;
4138;Uruguay;Artigas;;;;;;;;;
4139;Uruguay;Treinta y Tres;;;;;;;;;
4140;Uruguay;Treinta y Tres;;;;;;;;;
4141;Uruguay;Cerro Largo;;;;;;;;;
4142;Uruguay;Maldonado;;;;;;;;;
4143;Indonesia;East Kalimantan;;;;;;;;;
4144;Indonesia;West Kalimantan;;;;;;;;;
4145;Indonesia;Musi Banyuasin;;;;;;;;;
4146;Indonesia;Sambas;;;;;;;;;
4148;Indonesia;Musi Banyuasin;;;;;;;;;
4149;Indonesia;North Sumatra;;;;;;;;;
4150;Indonesia;Musi Banyuasin;;;;;;;;;
4151;Kenya;West Pokot;;;;;;;;;
4153;Indonesia;Central Kalimantan;;;;;;;;;
4154;Indonesia;South Kalimantan;;;;;;;;;
4155;Indonesia;Central Sulawesi;;;;;;;;;
4156;Indonesia;Jambi;;;;;;;;;
4157;Indonesia;South Sumatra;;;;;;;;;
4158;Indonesia;South Sumatra;;;;;;;;;
4159;Indonesia;East Aceh;;;;;;;;;
4160;Indonesia;Riau;;;;;;;;;
4161;Kenya;Maasai Mara National Reserve;;;;;;;;;
4162;Indonesia;West Kalimantan;;;;;;;;;
4163;Indonesia;Riau;;;;;;;;;
4164;Uganda;Kayunga;;;;;;;;;
4165;Uganda;Nakasongola;;;;;;;;;
4166;Uganda;Kololo;;;;;;;;;
4167;Brazil;Barreiras;;;;;;;;;
4168;Brazil;Correntina;;;;;;;;;
4169;Brazil;Jaborandi;;;;;;;;;
4170;Brazil;Goiás;;;;;;;;;
4171;Brazil;Jaborandi;;;;;;;;;
4172;Brazil;Correntina;;;;;;;;;
4173;Brazil;São Desidério;;;;;;;;;
4174;Uganda;Mityana;;;;;;;;;
4175;Uganda;Wakiso;;;;;;;;;
4176;Indonesia;Central Sulawesi;;;;;;;;;
4177;Indonesia;Central Sulawesi;;;;;;;;;
4178;Indonesia;Central Sulawesi;;;;;;;;;
4179;Indonesia;Central Kalimantan;;;;;;;;;
4180;Indonesia;Central Kalimantan;;;;;;;;;
4181;Indonesia;Central Kalimantan;;;;;;;;;
4183;Indonesia;Central Kalimantan;;;;;;;;;
4184;Indonesia;Central Kalimantan;;;;;;;;;
4185;Indonesia;East Kalimantan;;;;;;;;;
4186;Indonesia;East Kalimantan;;;;;;;;;
4187;Indonesia;East Kalimantan;;;;;;;;;
4188;Indonesia;East Kalimantan;;;;;;;;;
4189;Uganda;Mbale;;;;;;;;;
4190;Indonesia;East Kalimantan;;;;;;;;;
4191;Indonesia;East Kalimantan;;;;;;;;;
4192;Indonesia;South Kalimantan;;;;;;;;;
4203;Brazil;Minas Gerais;;;;;;;;;
4204;Indonesia;South Kalimantan;;;;;;;;;
4208;Brazil;Bahia;;;;;;;;;
4209;Brazil;Jaborandi - Bahia;;;;;;;;;
4210;Brazil;Mineiros - Goiás;;;;;;;;;
4211;Brazil;Correntina - Bahia;;;;;;;;;
4212;Brazil;Baianópolis - Bahia;;;;;;;;;
4213;Brazil;Jaborandi;;;;;;;;;
4215;Brazil;Caucaia;;;;;;;;;
4217;Mexico;Soconusco;;;;;;;;;
4218;Brazil;Luis Eduardo Magalhaes - Bahia;;;;;;;;;
4219;Brazil;Luis Eduardo Magalhaes - Bahia;;;;;;;;;
4220;Brazil;Barreiras;;;;;;;;;
4221;China;Shengle Economic Park Administration Service Hall;;;;;;;;;
4223;Uruguay;Cerro Colorado;;;;;;;;;
4224;Uruguay;Cerro Largo;;;;;;;;;
4225;Uruguay;Tacuarembo;;;;;;;;;
4227;Chile;Palena;;;;;;;;;
4229;Chile;Cisnes;;;;;;;;;
4230;Chile;Chile Chico;;;;;;;;;
4231;Chile;Capitán Prat Province;;;;;;;;;
